caseid,feelings_life,education,average_hours_worked,self_rated_mental_health,income_respondent,number_marriages
1,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
2,10,Trade certificate or diploma,50.1 hours and more,Good,"Less than $25,000",1
3,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Good,"$25,000 to $49,999",1
4,10,High school diploma or a high school equivalency certificate,NA,Very good,"$50,000 to $74,999",1
5,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"Less than $25,000",0
6,9,High school diploma or a high school equivalency certificate,NA,Very good,"Less than $25,000",1
7,4,Less than high school diploma or its equivalent,NA,Poor,"Less than $25,000",0
8,10,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",1
9,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"Less than $25,000",0
10,5,Less than high school diploma or its equivalent,NA,Poor,"Less than $25,000",0
11,10,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Excellent,"Less than $25,000",0
12,6,University certificate or diploma below the bachelor's level,50.1 hours and more,Good,"$25,000 to $49,999",0
13,6,High school diploma or a high school equivalency certificate,Don't know,Very good,"Less than $25,000",2
14,10,Trade certificate or diploma,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
15,6,High school diploma or a high school equivalency certificate,NA,Fair,"$25,000 to $49,999",1
16,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
17,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$125,000 and more",3
18,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Good,"$75,000 to $99,999",0
19,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Good,"$50,000 to $74,999",1
20,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Don't know,Excellent,"$75,000 to $99,999",0
21,10,"University certificate, diploma or degree above the bach...",NA,Excellent,"$25,000 to $49,999",2
22,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
23,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",0
24,7,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",0
25,8,"College, CEGEP or other non-university certificate or di...",NA,Very good,"$25,000 to $49,999",1
26,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Good,"$75,000 to $99,999",0
27,7,"University certificate, diploma or degree above the bach...",50.1 hours and more,Very good,"$100,000 to $ 124,999",0
28,2,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",0
29,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Very good,"$25,000 to $49,999",2
30,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
31,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Very good,"$25,000 to $49,999",0
32,7,Less than high school diploma or its equivalent,NA,Very good,"$25,000 to $49,999",1
33,8,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Excellent,"Less than $25,000",0
34,10,High school diploma or a high school equivalency certificate,NA,Very good,"$25,000 to $49,999",1
35,8,University certificate or diploma below the bachelor's level,40.1 to 50.0 hours,Very good,"$50,000 to $74,999",1
36,10,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
37,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",0
38,8,"University certificate, diploma or degree above the bach...",NA,Very good,"$50,000 to $74,999",0
39,5,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Very good,"Less than $25,000",0
40,10,High school diploma or a high school equivalency certificate,50.1 hours and more,Excellent,"Less than $25,000",1
41,10,Less than high school diploma or its equivalent,NA,Good,"$25,000 to $49,999",1
42,9,University certificate or diploma below the bachelor's level,30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",0
43,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
44,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Excellent,"$50,000 to $74,999",3
45,8,Less than high school diploma or its equivalent,40.1 to 50.0 hours,Fair,"Less than $25,000",1
46,10,High school diploma or a high school equivalency certificate,50.1 hours and more,Excellent,"$125,000 and more",1
47,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",0
48,8,Trade certificate or diploma,30.0 to 40.0 hours,Good,"$100,000 to $ 124,999",0
49,8,Less than high school diploma or its equivalent,NA,Don't know,"$25,000 to $49,999",1
50,9,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Very good,"Less than $25,000",3
51,8,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Fair,"Less than $25,000",0
52,8,"University certificate, diploma or degree above the bach...",40.1 to 50.0 hours,Very good,"Less than $25,000",1
53,5,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",2
54,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$125,000 and more",1
55,9,"University certificate, diploma or degree above the bach...",NA,Excellent,"$100,000 to $ 124,999",1
